planning_horizon,weight_scheme,asset_id,asset_role,criticality,capacity_loss_percent,throughput,severity,assignment_seed,assignment_design,source_cmapss_unit_id,source_true_endpoint_rul_diagnostic_only,surrogate_rul_input,surrogate_rul_quantile,rul_urgency,combined_consequence,priority_score,priority_rank,rul_only_score,rul_only_rank,criticality_only_score,criticality_only_rank
100.0,severity_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.676836948708643,0.6499999999999999,43.99440166606179,1,67.6836948708643,1,80.0,2
100.0,severity_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.0,0.9,0.0,4,0.0,4,100.0,1
100.0,severity_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,4,0.0,4,80.0,2
100.0,severity_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.524497290382131,0.4,20.97989161528524,2,52.4497290382131,2,40.0,5
100.0,severity_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.051859033969272494,0.5,2.592951698463625,3,5.18590339692725,3,60.0,4
125.0,equal,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.7414695589669144,0.6666666666666667,49.43130393112763,1,74.14695589669144,1,80.0,2
125.0,equal,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.025469608231791674,0.9333333333333333,2.377163434967223,4,2.5469608231791674,4,100.0,1
125.0,equal,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
125.0,equal,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.6195978323057048,0.4,24.783913292228192,2,61.95978323057047,2,40.0,5
125.0,equal,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.24148722717541793,0.5333333333333333,12.879318782688957,3,24.148722717541794,3,60.0,4
125.0,criticality_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.7414695589669144,0.7000000000000001,51.90286912768401,1,74.14695589669144,1,80.0,2
125.0,criticality_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.025469608231791674,0.95,2.419612782020209,4,2.5469608231791674,4,100.0,1
125.0,criticality_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
125.0,criticality_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.6195978323057048,0.4,24.783913292228192,2,61.95978323057047,2,40.0,5
125.0,criticality_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.24148722717541793,0.5499999999999999,13.281797494647986,3,24.148722717541794,3,60.0,4
125.0,throughput_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.7414695589669144,0.65,48.19552133284944,1,74.14695589669144,1,80.0,2
125.0,throughput_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.025469608231791674,0.95,2.419612782020209,4,2.5469608231791674,4,100.0,1
125.0,throughput_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
125.0,throughput_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.6195978323057048,0.4,24.783913292228192,2,61.95978323057047,2,40.0,5
125.0,throughput_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.24148722717541793,0.5499999999999999,13.281797494647986,3,24.148722717541794,3,60.0,4
125.0,severity_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.7414695589669144,0.6499999999999999,48.19552133284943,1,74.14695589669144,1,80.0,2
125.0,severity_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.025469608231791674,0.9,2.292264740861251,4,2.5469608231791674,4,100.0,1
125.0,severity_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
125.0,severity_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.6195978323057048,0.4,24.783913292228192,2,61.95978323057047,2,40.0,5
125.0,severity_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.24148722717541793,0.5,12.074361358770897,3,24.148722717541794,3,60.0,4
150.0,equal,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.784557965805762,0.6666666666666667,52.3038643870508,1,78.45579658057619,1,80.0,2
150.0,equal,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.18789134019315967,0.9333333333333333,17.5365250846949,4,18.789134019315966,4,100.0,1
150.0,equal,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
150.0,equal,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.6829981935880873,0.4,27.319927743523493,2,68.29981935880873,2,40.0,5
150.0,equal,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.36790602264618166,0.5333333333333333,19.621654541129686,3,36.790602264618165,3,60.0,4
150.0,criticality_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.784557965805762,0.7000000000000001,54.91905760640334,1,78.45579658057619,1,80.0,2
150.0,criticality_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.18789134019315967,0.95,17.849677318350167,4,18.789134019315966,4,100.0,1
150.0,criticality_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
150.0,criticality_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.6829981935880873,0.4,27.319927743523493,2,68.29981935880873,2,40.0,5
150.0,criticality_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.36790602264618166,0.5499999999999999,20.23483124553999,3,36.790602264618165,3,60.0,4
150.0,throughput_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.784557965805762,0.65,50.99626777737453,1,78.45579658057619,1,80.0,2
150.0,throughput_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.18789134019315967,0.95,17.849677318350167,4,18.789134019315966,4,100.0,1
150.0,throughput_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
150.0,throughput_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.6829981935880873,0.4,27.319927743523493,2,68.29981935880873,2,40.0,5
150.0,throughput_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.36790602264618166,0.5499999999999999,20.23483124553999,3,36.790602264618165,3,60.0,4
150.0,severity_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.784557965805762,0.6499999999999999,50.99626777737452,1,78.45579658057619,1,80.0,2
150.0,severity_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.18789134019315967,0.9,16.910220617384372,4,18.789134019315966,4,100.0,1
150.0,severity_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
150.0,severity_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.6829981935880873,0.4,27.319927743523493,2,68.29981935880873,2,40.0,5
150.0,severity_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.36790602264618166,0.5,18.395301132309083,3,36.790602264618165,3,60.0,4
