repetition,asset_id,asset_role,criticality,capacity_loss_percent,throughput,severity,assignment_seed,assignment_design,source_cmapss_unit_id,source_true_endpoint_rul_diagnostic_only,surrogate_rul_input,surrogate_rul_quantile,noise_seed,sampled_cmapss_prediction_error,perturbed_surrogate_rul_input,rul_urgency,combined_consequence,priority_score,priority_rank,rul_only_score,rul_only_rank,criticality_only_score,criticality_only_rank
6,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100047,4.927078343683024,126.74337731470906,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
6,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100047,2.3809039582805225,175.36539108029808,0.0,0.8,0.0,4,0.0,4,80.0,2
6,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100047,-63.73266007623668,0.0,1.0,0.4,40.0,1,100.0,1,40.0,5
6,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100047,25.409342049059422,120.22343865213217,0.03821249078294264,0.5333333333333333,2.0379995084236078,3,3.8212490782942643,3,60.0,4
7,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100048,35.671406354927946,67.98771148406365,0.45609830812749075,0.6666666666666667,30.406553875166054,1,45.609830812749074,2,80.0,2
7,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100048,-3.7514812475901698,118.06481772343588,0.055481458212512935,0.9333333333333333,5.178269433167874,3,5.5481458212512935,3,100.0,1
7,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100048,46.882797467754465,219.86728458977203,0.0,0.8,0.0,5,0.0,5,80.0,2
7,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100048,-1.2715993321996093,46.2786716295873,0.6297706269633017,0.4,25.190825078532068,2,62.977062696330165,1,40.0,5
7,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100048,23.477758662253766,118.29185526532652,0.0536651578773879,0.5333333333333333,2.8621417534606883,4,5.36651578773879,4,60.0,4
8,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100049,-11.76120374473049,20.555101384405216,0.8355591889247582,0.6666666666666667,55.70394592831722,1,83.55591889247582,1,80.0,2
8,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100049,-6.635615820336354,115.18068315068969,0.07855453479448249,0.9333333333333333,7.331756580818365,4,7.855453479448249,4,100.0,1
8,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100049,6.136389395418239,179.1208765174358,0.0,0.8,0.0,5,0.0,5,80.0,2
8,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100049,-15.115465267809267,32.43480569397764,0.7405215544481789,0.4,29.620862177927155,3,74.05215544481788,2,40.0,5
8,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100049,-42.632502836915386,52.18159376615737,0.582547249870741,0.5333333333333333,31.069186659772857,2,58.254724987074106,3,60.0,4
9,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100050,4.710078477557476,37.02638360669318,0.7037889311464546,0.6666666666666667,46.919262076430314,1,70.37889311464546,2,80.0,2
9,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100050,24.100777445698203,145.91707641672426,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
9,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100050,71.81774195395428,244.80222907597184,0.0,0.8,0.0,4,0.0,4,80.0,2
9,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100050,-44.316306412408196,3.2339645493787117,0.9741282836049703,0.4,38.96513134419882,2,97.41282836049703,1,40.0,5
9,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100050,2.3833152813209084,97.19741188439366,0.22242070492485078,0.5333333333333333,11.862437595992041,3,22.242070492485077,3,60.0,4
10,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100051,13.670251599438085,45.98655672857379,0.6321075461714096,0.6666666666666667,42.14050307809398,1,63.210754617140964,2,80.0,2
10,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100051,-12.77259751433186,109.04370145669418,0.1276503883464466,0.9333333333333333,11.914036245668349,3,12.76503883464466,4,100.0,1
10,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100051,28.994609468579345,201.9790965905969,0.0,0.8,0.0,5,0.0,5,80.0,2
10,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100051,-32.00142402660659,15.548846935180315,0.8756092245185575,0.4,35.0243689807423,2,87.56092245185575,1,40.0,5
10,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100051,5.250501778205366,100.06459838127812,0.1994832129497751,0.5333333333333333,10.639104690654673,4,19.94832129497751,3,60.0,4
11,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100052,-27.038327327753304,5.277977801382402,0.9577761775889407,0.6666666666666667,63.851745172596054,1,95.77761775889407,1,80.0,2
11,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100052,7.836136259643557,129.6524352306696,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
11,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100052,21.19076459032856,194.17525171234612,0.0,0.8,0.0,4,0.0,4,80.0,2
11,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100052,-8.961920080250966,38.588350881535945,0.6912931929477124,0.4,27.651727717908496,3,69.12931929477124,2,40.0,5
11,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100052,-35.000042049363934,59.81405455370882,0.5214875635703294,0.5333333333333333,27.812670057084237,2,52.148756357032944,3,60.0,4
12,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100053,-16.97458423418757,15.341720894948136,0.8772662328404149,0.6666666666666667,58.484415522694334,1,87.7266232840415,1,80.0,2
12,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100053,13.998903522705493,135.81520249373153,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
12,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100053,13.82405237524188,186.80853949725943,0.0,0.8,0.0,4,0.0,4,80.0,2
12,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100053,19.428935841753617,66.97920680354052,0.4641663455716758,0.4,18.566653822867035,2,46.41663455716758,2,40.0,5
12,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100053,-0.10607070974526342,94.70802589332749,0.24233579285338014,0.5333333333333333,12.92457561884694,3,24.233579285338013,3,60.0,4
13,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100054,9.42338284576002,41.73968797489573,0.6660824962008342,0.6666666666666667,44.40549974672228,1,66.60824962008341,2,80.0,2
13,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100054,-20.431494202607208,101.38480476841883,0.1889215618526493,0.9333333333333333,17.63267910624727,3,18.89215618526493,3,100.0,1
13,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100054,-19.806850229532724,153.17763689248483,0.0,0.8,0.0,4,0.0,4,80.0,2
13,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100054,-25.529152580348192,22.021118381438715,0.8238310529484902,0.4,32.95324211793962,2,82.38310529484903,1,40.0,5
13,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100054,40.56740651757102,135.38150312064377,0.0,0.5333333333333333,0.0,4,0.0,4,60.0,4
14,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100055,17.618220196088945,49.934525325224655,0.6005237973982027,0.6666666666666667,40.034919826546854,1,60.052379739820275,1,80.0,2
14,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100055,7.198000425909549,129.0142993969356,0.0,0.9333333333333333,0.0,3,0.0,3,100.0,1
14,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100055,17.4365630307551,190.42105015277266,0.0,0.8,0.0,3,0.0,3,80.0,2
14,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100055,48.943705096823074,96.49397605860997,0.22804819153112021,0.4,9.12192766124481,2,22.80481915311202,2,40.0,5
14,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100055,54.11999667153825,148.934093274611,0.0,0.5333333333333333,0.0,3,0.0,3,60.0,4
15,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100056,-25.673383768057672,6.642921361078034,0.9468566291113757,0.6666666666666667,63.12377527409172,1,94.68566291113757,1,80.0,2
15,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100056,15.094824588832925,136.91112355985896,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
15,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100056,24.381600398294157,197.3660875203117,0.0,0.8,0.0,4,0.0,4,80.0,2
15,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100056,4.2599558794533054,51.810226841240215,0.5855181852700783,0.4,23.42072741080313,3,58.551818527007825,2,40.0,5
15,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100056,-35.84711031532128,58.966986287751475,0.5282641096979882,0.5333333333333333,28.174085850559372,2,52.82641096979882,3,60.0,4
16,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100057,30.53167552573574,62.84798065487145,0.49721615476102843,0.6666666666666667,33.14774365073523,2,49.72161547610284,2,80.0,2
16,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100057,-72.02118344780115,49.795115523224894,0.6016390758142008,0.9333333333333333,56.152980409325416,1,60.163907581420084,1,100.0,1
16,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100057,6.679160386294572,179.66364750831212,0.0,0.8,0.0,5,0.0,5,80.0,2
16,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100057,58.56611966629041,106.11639062807731,0.15106887497538146,0.4,6.0427549990152585,4,15.106887497538146,4,40.0,5
16,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100057,4.5439502165111305,99.35804681958389,0.20513562544332886,0.5333333333333333,10.940566690310872,3,20.513562544332885,3,60.0,4
17,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100058,-5.596907362439107,26.7193977666966,0.7862448178664272,0.6666666666666667,52.41632119109515,1,78.62448178664272,1,80.0,2
17,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100058,7.247706229583348,129.0640052006094,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
17,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100058,25.835823847401347,198.8203109694189,0.0,0.8,0.0,4,0.0,4,80.0,2
17,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100058,-2.9264158291901117,44.623855132596795,0.6430091589392257,0.4,25.720366357569034,2,64.30091589392258,2,40.0,5
17,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100058,17.388522589802857,112.20261919287562,0.10237904645699503,0.5333333333333333,5.460215811039735,3,10.237904645699503,3,60.0,4
18,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100059,-19.64977919172082,12.666525937414885,0.898667792500681,0.6666666666666667,59.91118616671207,2,89.86677925006809,2,80.0,2
18,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100059,-102.08544751431631,19.73085145670973,0.8421531883463221,0.9333333333333333,78.60096424565674,1,84.21531883463221,3,100.0,1
18,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100059,25.752577116400236,198.7370642384178,0.0,0.8,0.0,5,0.0,5,80.0,2
18,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100059,-37.39502611906865,10.155244842718254,0.918758041258254,0.4,36.75032165033016,3,91.8758041258254,1,40.0,5
18,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100059,24.381600398294157,119.19569700136691,0.04643442398906472,0.5333333333333333,2.4765026127501186,4,4.643442398906473,4,60.0,4
19,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100060,-18.12328989153043,14.193015237605277,0.8864558780991578,0.6666666666666667,59.09705853994386,1,88.64558780991578,1,80.0,2
19,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100060,-1.0924789228588052,120.72382004816724,0.03420943961466205,0.9333333333333333,3.1928810307017916,4,3.420943961466205,4,100.0,1
19,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100060,44.46633107646091,217.45081819847846,0.0,0.8,0.0,5,0.0,5,80.0,2
19,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100060,-6.135736122468454,41.414534839318456,0.6686837212854524,0.4,26.7473488514181,2,66.86837212854525,2,40.0,5
19,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100060,4.87785499591222,99.69195159898497,0.2024643872081202,0.5333333333333333,10.798100651099745,3,20.246438720812023,3,60.0,4
20,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100061,35.70062726262942,68.01693239176512,0.455864540865879,0.6666666666666667,30.390969391058604,2,45.5864540865879,2,80.0,2
20,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100061,-19.231934311714294,102.58436465931175,0.17932508272550607,0.9333333333333333,16.737007721047235,3,17.932508272550606,4,100.0,1
20,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100061,-72.74371996188066,100.2407671601369,0.19807386271890481,0.8,15.845909017512387,4,19.807386271890483,3,80.0,2
20,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100061,-68.6326276016658,0.0,1.0,0.4,40.0,1,100.0,1,40.0,5
20,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100061,39.740508066469836,134.55460466954258,0.0,0.5333333333333333,0.0,5,0.0,5,60.0,4
21,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100062,33.1054995876483,65.42180471678401,0.47662556226572794,0.6666666666666667,31.77503748438187,1,47.662556226572796,1,80.0,2
21,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100062,0.28910941043997596,122.10540838146602,0.023156732948271808,0.9333333333333333,2.1612950751720352,3,2.3156732948271808,3,100.0,1
21,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100062,7.580506556770655,180.5649936787882,0.0,0.8,0.0,4,0.0,4,80.0,2
21,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100062,20.24425104574161,67.79452200752851,0.4576438239397719,0.4,18.305752957590876,2,45.764382393977186,2,40.0,5
21,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100062,57.75668778896256,152.5707843920353,0.0,0.5333333333333333,0.0,4,0.0,4,60.0,4
22,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100063,64.80331776862741,97.11962289776312,0.22304301681789507,0.6666666666666667,14.86953445452634,3,22.304301681789507,4,80.0,2
22,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100063,-99.38556088017793,22.43073809084811,0.8205540952732151,0.9333333333333333,76.58504889216675,1,82.05540952732152,1,100.0,1
22,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100063,2.607575579150354,175.59206270116792,0.0,0.8,0.0,5,0.0,5,80.0,2
22,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100063,0.46130612425704676,48.01157708604396,0.6159073833116484,0.4,24.636295332465938,2,61.59073833116484,2,40.0,5
22,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100063,0.5193496081981593,95.33344621127091,0.23733243030983275,0.5333333333333333,12.657729616524414,4,23.733243030983274,3,60.0,4
23,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100064,45.33038596649292,77.64669109562863,0.37882647123497104,0.6666666666666667,25.255098082331404,3,37.8826471234971,3,80.0,2
23,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100064,5.231810211310408,127.04810918233645,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
23,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100064,-32.75327496862152,140.23121215339603,0.0,0.8,0.0,4,0.0,4,80.0,2
23,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100064,-109.04396087105621,0.0,1.0,0.4,40.0,2,100.0,1,40.0,5
23,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100064,-72.52506393128371,22.289032671789045,0.8216877386256877,0.5333333333333333,43.82334606003668,1,82.16877386256877,2,60.0,4
24,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100065,-10.018807453639479,22.297497675496228,0.8216200185960302,0.6666666666666667,54.77466790640202,1,82.16200185960302,1,80.0,2
24,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100065,-33.77725386134919,88.03904510967686,0.2956876391225851,0.9333333333333333,27.59751298477461,3,29.56876391225851,4,100.0,1
24,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100065,3.8152176118970624,176.7997047339146,0.0,0.8,0.0,5,0.0,5,80.0,2
24,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100065,29.031760521974267,76.58203148376117,0.3873437481299107,0.4,15.493749925196429,4,38.73437481299107,3,40.0,5
