repetition,asset_id,asset_role,criticality,capacity_loss_percent,throughput,severity,assignment_seed,assignment_design,source_cmapss_unit_id,source_true_endpoint_rul_diagnostic_only,surrogate_rul_input,surrogate_rul_quantile,rul_urgency,combined_consequence,priority_score,priority_rank,rul_only_score,rul_only_rank,criticality_only_score,criticality_only_rank
7,A4,AGV/shuttle drive unit,2,15,2,2,48,unstratified_random,13,95,93.13834255441226,Q3_40_60pct,0.2548932595647019,0.4,10.195730382588076,4,25.48932595647019,4,40.0,5
7,A5,Packing-station roller motor,3,35,3,2,48,unstratified_random,49,21,13.44996942007384,Q1_shortest_0_20pct,0.8924002446394093,0.5333333333333333,47.59467971410183,3,89.24002446394093,1,60.0,4
8,A1,Inbound conveyor motor,4,40,3,3,49,unstratified_random,5,91,97.4316568366386,Q3_40_60pct,0.22054674530689122,0.6666666666666667,14.703116353792751,4,22.054674530689123,4,80.0,2
8,A2,Sortation conveyor drive,5,80,5,4,49,unstratified_random,59,114,150.6488483670163,Q5_longest_80_100pct,0.0,0.9333333333333333,0.0,5,0.0,5,100.0,1
8,A3,Vertical lift motor,4,55,4,4,49,unstratified_random,100,20,23.88622641030998,Q1_shortest_0_20pct,0.8089101887175202,0.8,64.71281509740162,1,80.89101887175202,2,80.0,2
8,A4,AGV/shuttle drive unit,2,15,2,2,49,unstratified_random,84,58,54.07820667708313,Q2_20_40pct,0.567374346583335,0.4,22.694973863333402,3,56.7374346583335,3,40.0,5
8,A5,Packing-station roller motor,3,35,3,2,49,unstratified_random,36,19,22.29101002400674,Q1_shortest_0_20pct,0.8216719198079461,0.5333333333333333,43.822502389757126,2,82.16719198079461,1,60.0,4
9,A1,Inbound conveyor motor,4,40,3,3,50,unstratified_random,83,137,136.40747067846124,Q5_longest_80_100pct,0.0,0.6666666666666667,0.0,4,0.0,4,80.0,2
9,A2,Sortation conveyor drive,5,80,5,4,50,unstratified_random,77,34,40.64323409645428,Q2_20_40pct,0.6748541272283658,0.9333333333333333,62.98638520798082,2,67.48541272283659,3,100.0,1
9,A3,Vertical lift motor,4,55,4,4,50,unstratified_random,100,20,23.88622641030998,Q1_shortest_0_20pct,0.8089101887175202,0.8,64.71281509740162,1,80.89101887175202,2,80.0,2
9,A4,AGV/shuttle drive unit,2,15,2,2,50,unstratified_random,76,10,10.049433434661326,Q1_shortest_0_20pct,0.9196045325227094,0.4,36.78418130090838,3,91.96045325227094,1,40.0,5
9,A5,Packing-station roller motor,3,35,3,2,50,unstratified_random,71,118,142.21779435736028,Q5_longest_80_100pct,0.0,0.5333333333333333,0.0,4,0.0,4,60.0,4
10,A1,Inbound conveyor motor,4,40,3,3,51,unstratified_random,98,59,85.21286900885234,Q3_40_60pct,0.31829704792918134,0.6666666666666667,21.21980319527876,5,31.829704792918136,5,80.0,2
10,A2,Sortation conveyor drive,5,80,5,4,51,unstratified_random,31,8,23.83573742078014,Q1_shortest_0_20pct,0.8093141006337589,0.9333333333333333,75.5359827258175,1,80.93141006337589,2,100.0,1
10,A3,Vertical lift motor,4,55,4,4,51,unstratified_random,37,21,54.159061654098565,Q2_20_40pct,0.5667275067672115,0.8,45.33820054137692,2,56.67275067672115,4,80.0,2
10,A4,AGV/shuttle drive unit,2,15,2,2,51,unstratified_random,35,11,10.318035788709574,Q1_shortest_0_20pct,0.9174557136903234,0.4,36.69822854761294,4,91.74557136903235,1,40.0,5
10,A5,Packing-station roller motor,3,35,3,2,51,unstratified_random,92,20,25.16213385236525,Q1_shortest_0_20pct,0.798702929181078,0.5333333333333333,42.597489556324156,3,79.8702929181078,3,60.0,4
11,A1,Inbound conveyor motor,4,40,3,3,52,unstratified_random,60,100,104.41961816061556,Q4_60_80pct,0.16464305471507557,0.6666666666666667,10.976203647671706,3,16.464305471507558,3,80.0,2
11,A2,Sortation conveyor drive,5,80,5,4,52,unstratified_random,47,135,121.81629897102604,Q4_60_80pct,0.025469608231791674,0.9333333333333333,2.377163434967223,4,2.5469608231791674,4,100.0,1
11,A3,Vertical lift motor,4,55,4,4,52,unstratified_random,93,85,42.17809886645809,Q2_20_40pct,0.6625752090683352,0.8,53.00601672546682,1,66.25752090683352,1,80.0,2
11,A4,AGV/shuttle drive unit,2,15,2,2,52,unstratified_random,57,103,83.29315372594353,Q3_40_60pct,0.3336547701924518,0.4,13.346190807698074,2,33.36547701924518,2,40.0,5
11,A5,Packing-station roller motor,3,35,3,2,52,unstratified_random,26,119,123.02499684692152,Q4_60_80pct,0.015800025224627756,0.5333333333333333,0.842668011980147,5,1.5800025224627756,5,60.0,4
12,A1,Inbound conveyor motor,4,40,3,3,53,unstratified_random,81,8,12.767256508974471,Q1_shortest_0_20pct,0.8978619479282042,0.6666666666666667,59.857463195213626,1,89.78619479282042,1,80.0,2
12,A2,Sortation conveyor drive,5,80,5,4,53,unstratified_random,73,131,128.00577343113736,Q4_60_80pct,0.0,0.9333333333333333,0.0,3,0.0,3,100.0,1
12,A3,Vertical lift motor,4,55,4,4,53,unstratified_random,72,50,70.20451782538055,Q3_40_60pct,0.4383638573969556,0.8,35.06910859175645,2,43.83638573969556,2,80.0,2
12,A4,AGV/shuttle drive unit,2,15,2,2,53,unstratified_random,67,77,138.84222319134904,Q5_longest_80_100pct,0.0,0.4,0.0,3,0.0,3,40.0,5
12,A5,Packing-station roller motor,3,35,3,2,53,unstratified_random,2,98,142.91341211911944,Q5_longest_80_100pct,0.0,0.5333333333333333,0.0,3,0.0,3,60.0,4
13,A1,Inbound conveyor motor,4,40,3,3,54,unstratified_random,51,114,102.38736822787688,Q4_60_80pct,0.180901054176985,0.6666666666666667,12.060070278465668,4,18.0901054176985,4,80.0,2
13,A2,Sortation conveyor drive,5,80,5,4,54,unstratified_random,98,59,85.21286900885234,Q3_40_60pct,0.31829704792918134,0.9333333333333333,29.70772447339026,1,31.829704792918136,2,100.0,1
13,A3,Vertical lift motor,4,55,4,4,54,unstratified_random,22,111,163.77680736738688,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
13,A4,AGV/shuttle drive unit,2,15,2,2,54,unstratified_random,52,29,40.87621681240515,Q2_20_40pct,0.6729902655007588,0.4,26.919610620030355,2,67.29902655007588,1,40.0,5
13,A5,Packing-station roller motor,3,35,3,2,54,unstratified_random,30,115,88.96761601985438,Q3_40_60pct,0.28825907184116495,0.5333333333333333,15.37381716486213,3,28.825907184116495,3,60.0,4
14,A1,Inbound conveyor motor,4,40,3,3,55,unstratified_random,72,50,70.20451782538055,Q3_40_60pct,0.4383638573969556,0.6666666666666667,29.22425715979704,3,43.83638573969556,3,80.0,2
14,A2,Sortation conveyor drive,5,80,5,4,55,unstratified_random,23,113,135.36716530023588,Q4_60_80pct,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
14,A3,Vertical lift motor,4,55,4,4,55,unstratified_random,93,85,42.17809886645809,Q2_20_40pct,0.6625752090683352,0.8,53.00601672546682,1,66.25752090683352,2,80.0,2
14,A4,AGV/shuttle drive unit,2,15,2,2,55,unstratified_random,87,116,144.3579823471946,Q5_longest_80_100pct,0.0,0.4,0.0,4,0.0,4,40.0,5
14,A5,Packing-station roller motor,3,35,3,2,55,unstratified_random,81,8,12.767256508974471,Q1_shortest_0_20pct,0.8978619479282042,0.5333333333333333,47.88597055617089,2,89.78619479282042,1,60.0,4
15,A1,Inbound conveyor motor,4,40,3,3,56,unstratified_random,71,118,142.21779435736028,Q5_longest_80_100pct,0.0,0.6666666666666667,0.0,2,0.0,2,80.0,2
15,A2,Sortation conveyor drive,5,80,5,4,56,unstratified_random,36,19,22.29101002400674,Q1_shortest_0_20pct,0.8216719198079461,0.9333333333333333,76.68937918207497,1,82.16719198079461,1,100.0,1
15,A3,Vertical lift motor,4,55,4,4,56,unstratified_random,2,98,142.91341211911944,Q5_longest_80_100pct,0.0,0.8,0.0,2,0.0,2,80.0,2
15,A4,AGV/shuttle drive unit,2,15,2,2,56,unstratified_random,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.4,0.0,2,0.0,2,40.0,5
15,A5,Packing-station roller motor,3,35,3,2,56,unstratified_random,96,137,137.09402180530702,Q5_longest_80_100pct,0.0,0.5333333333333333,0.0,2,0.0,2,60.0,4
16,A1,Inbound conveyor motor,4,40,3,3,57,unstratified_random,81,8,12.767256508974471,Q1_shortest_0_20pct,0.8978619479282042,0.6666666666666667,59.857463195213626,1,89.78619479282042,1,80.0,2
16,A2,Sortation conveyor drive,5,80,5,4,57,unstratified_random,7,91,94.3787722014587,Q3_40_60pct,0.24496982238833043,0.9333333333333333,22.863850089577507,2,24.49698223883304,2,100.0,1
16,A3,Vertical lift motor,4,55,4,4,57,unstratified_random,67,77,138.84222319134904,Q5_longest_80_100pct,0.0,0.8,0.0,4,0.0,4,80.0,2
16,A4,AGV/shuttle drive unit,2,15,2,2,57,unstratified_random,47,135,121.81629897102604,Q4_60_80pct,0.025469608231791674,0.4,1.018784329271667,3,2.5469608231791674,3,40.0,5
16,A5,Packing-station roller motor,3,35,3,2,57,unstratified_random,88,115,132.4717899153425,Q4_60_80pct,0.0,0.5333333333333333,0.0,4,0.0,4,60.0,4
17,A1,Inbound conveyor motor,4,40,3,3,58,unstratified_random,88,115,132.4717899153425,Q4_60_80pct,0.0,0.6666666666666667,0.0,4,0.0,4,80.0,2
17,A2,Sortation conveyor drive,5,80,5,4,58,unstratified_random,96,137,137.09402180530702,Q5_longest_80_100pct,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
17,A3,Vertical lift motor,4,55,4,4,58,unstratified_random,49,21,13.44996942007384,Q1_shortest_0_20pct,0.8924002446394093,0.8,71.39201957115274,1,89.24002446394093,1,80.0,2
17,A4,AGV/shuttle drive unit,2,15,2,2,58,unstratified_random,56,15,16.158144448588526,Q1_shortest_0_20pct,0.8707348444112918,0.4,34.829393776451674,2,87.07348444112918,2,40.0,5
17,A5,Packing-station roller motor,3,35,3,2,58,unstratified_random,30,115,88.96761601985438,Q3_40_60pct,0.28825907184116495,0.5333333333333333,15.37381716486213,3,28.825907184116495,3,60.0,4
18,A1,Inbound conveyor motor,4,40,3,3,59,unstratified_random,74,126,94.81409660307276,Q3_40_60pct,0.24148722717541793,0.6666666666666667,16.099148478361197,5,24.148722717541794,5,80.0,2
18,A2,Sortation conveyor drive,5,80,5,4,59,unstratified_random,64,28,47.55027096178691,Q2_20_40pct,0.6195978323057048,0.9333333333333333,57.82913101519911,1,61.95978323057047,4,100.0,1
18,A3,Vertical lift motor,4,55,4,4,59,unstratified_random,58,37,44.85465760060767,Q2_20_40pct,0.6411627391951387,0.8,51.293019135611104,2,64.11627391951387,3,80.0,2
18,A4,AGV/shuttle drive unit,2,15,2,2,59,unstratified_random,82,9,13.00528536289486,Q1_shortest_0_20pct,0.8959577170968411,0.4,35.83830868387365,4,89.59577170968412,2,40.0,5
18,A5,Packing-station roller motor,3,35,3,2,59,unstratified_random,76,10,10.049433434661326,Q1_shortest_0_20pct,0.9196045325227094,0.5333333333333333,49.045575067877834,3,91.96045325227094,1,60.0,4
19,A1,Inbound conveyor motor,4,40,3,3,60,unstratified_random,98,59,85.21286900885234,Q3_40_60pct,0.31829704792918134,0.6666666666666667,21.21980319527876,4,31.829704792918136,4,80.0,2
19,A2,Sortation conveyor drive,5,80,5,4,60,unstratified_random,32,48,58.21837314904572,Q2_20_40pct,0.5342530148076343,0.9333333333333333,49.8636147153792,1,53.42530148076343,3,100.0,1
19,A3,Vertical lift motor,4,55,4,4,60,unstratified_random,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
19,A4,AGV/shuttle drive unit,2,15,2,2,60,unstratified_random,3,69,51.59437184534412,Q2_20_40pct,0.587245025237247,0.4,23.48980100948988,3,58.724502523724695,1,40.0,5
19,A5,Packing-station roller motor,3,35,3,2,60,unstratified_random,17,50,51.778940468972905,Q2_20_40pct,0.5857684762482167,0.5333333333333333,31.24098539990489,2,58.57684762482167,2,60.0,4
20,A1,Inbound conveyor motor,4,40,3,3,61,unstratified_random,37,21,54.159061654098565,Q2_20_40pct,0.5667275067672115,0.6666666666666667,37.781833784480774,2,56.67275067672115,2,80.0,2
20,A2,Sortation conveyor drive,5,80,5,4,61,unstratified_random,41,18,59.85486006548725,Q2_20_40pct,0.521161119476102,0.9333333333333333,48.64170448443619,1,52.1161119476102,3,100.0,1
20,A3,Vertical lift motor,4,55,4,4,61,unstratified_random,48,92,128.30022813454278,Q4_60_80pct,0.0,0.8,0.0,5,0.0,5,80.0,2
20,A4,AGV/shuttle drive unit,2,15,2,2,61,unstratified_random,74,126,94.81409660307276,Q3_40_60pct,0.24148722717541793,0.4,9.659489087016718,4,24.148722717541794,4,40.0,5
20,A5,Packing-station roller motor,3,35,3,2,61,unstratified_random,77,34,40.64323409645428,Q2_20_40pct,0.6748541272283658,0.5333333333333333,35.99222011884618,3,67.48541272283659,1,60.0,4
21,A1,Inbound conveyor motor,4,40,3,3,62,unstratified_random,60,100,104.41961816061556,Q4_60_80pct,0.16464305471507557,0.6666666666666667,10.976203647671706,4,16.464305471507558,4,80.0,2
21,A2,Sortation conveyor drive,5,80,5,4,62,unstratified_random,56,15,16.158144448588526,Q1_shortest_0_20pct,0.8707348444112918,0.9333333333333333,81.26858547838724,1,87.07348444112918,2,100.0,1
21,A3,Vertical lift motor,4,55,4,4,62,unstratified_random,81,8,12.767256508974471,Q1_shortest_0_20pct,0.8978619479282042,0.8,71.82895583425635,2,89.78619479282042,1,80.0,2
21,A4,AGV/shuttle drive unit,2,15,2,2,62,unstratified_random,43,59,63.79604805149177,Q2_20_40pct,0.4896316155880658,0.4,19.585264623522633,3,48.963161558806576,3,40.0,5
21,A5,Packing-station roller motor,3,35,3,2,62,unstratified_random,75,113,125.9355598567823,Q4_60_80pct,0.0,0.5333333333333333,0.0,5,0.0,5,60.0,4
22,A1,Inbound conveyor motor,4,40,3,3,63,unstratified_random,99,117,132.87361758142774,Q4_60_80pct,0.0,0.6666666666666667,0.0,4,0.0,4,80.0,2
22,A2,Sortation conveyor drive,5,80,5,4,63,unstratified_random,94,55,48.61299679912422,Q2_20_40pct,0.6110960256070063,0.9333333333333333,57.035629056653924,1,61.10960256070063,2,100.0,1
22,A3,Vertical lift motor,4,55,4,4,63,unstratified_random,55,137,118.91039914419324,Q4_60_80pct,0.048716806846454075,0.8,3.897344547716326,3,4.8716806846454075,3,80.0,2
22,A4,AGV/shuttle drive unit,2,15,2,2,63,unstratified_random,90,28,30.303009041002955,Q1_shortest_0_20pct,0.7575759276719763,0.4,30.303037106879056,2,75.75759276719764,1,40.0,5
22,A5,Packing-station roller motor,3,35,3,2,63,unstratified_random,44,109,141.8287484510994,Q5_longest_80_100pct,0.0,0.5333333333333333,0.0,4,0.0,4,60.0,4
23,A1,Inbound conveyor motor,4,40,3,3,64,unstratified_random,85,118,162.2981284023822,Q5_longest_80_100pct,0.0,0.6666666666666667,0.0,4,0.0,4,80.0,2
23,A2,Sortation conveyor drive,5,80,5,4,64,unstratified_random,92,20,25.16213385236525,Q1_shortest_0_20pct,0.798702929181078,0.9333333333333333,74.54560672356727,1,79.8702929181078,2,100.0,1
23,A3,Vertical lift motor,4,55,4,4,64,unstratified_random,52,29,40.87621681240515,Q2_20_40pct,0.6729902655007588,0.8,53.83922124006071,2,67.29902655007588,3,80.0,2
23,A4,AGV/shuttle drive unit,2,15,2,2,64,unstratified_random,25,145,153.1932818222736,Q5_longest_80_100pct,0.0,0.4,0.0,4,0.0,4,40.0,5
23,A5,Packing-station roller motor,3,35,3,2,64,unstratified_random,49,21,13.44996942007384,Q1_shortest_0_20pct,0.8924002446394093,0.5333333333333333,47.59467971410183,3,89.24002446394093,1,60.0,4
24,A1,Inbound conveyor motor,4,40,3,3,65,unstratified_random,59,114,150.6488483670163,Q5_longest_80_100pct,0.0,0.6666666666666667,0.0,5,0.0,5,80.0,2
24,A2,Sortation conveyor drive,5,80,5,4,65,unstratified_random,31,8,23.83573742078014,Q1_shortest_0_20pct,0.8093141006337589,0.9333333333333333,75.5359827258175,1,80.93141006337589,1,100.0,1
24,A3,Vertical lift motor,4,55,4,4,65,unstratified_random,17,50,51.778940468972905,Q2_20_40pct,0.5857684762482167,0.8,46.86147809985734,2,58.57684762482167,3,80.0,2
24,A4,AGV/shuttle drive unit,2,15,2,2,65,unstratified_random,52,29,40.87621681240515,Q2_20_40pct,0.6729902655007588,0.4,26.919610620030355,3,67.29902655007588,2,40.0,5
24,A5,Packing-station roller motor,3,35,3,2,65,unstratified_random,5,91,97.4316568366386,Q3_40_60pct,0.22054674530689122,0.5333333333333333,11.7624930830342,4,22.054674530689123,4,60.0,4
25,A1,Inbound conveyor motor,4,40,3,3,66,unstratified_random,65,128,151.46723766284128,Q5_longest_80_100pct,0.0,0.6666666666666667,0.0,3,0.0,3,80.0,2
25,A2,Sortation conveyor drive,5,80,5,4,66,unstratified_random,69,121,148.86538698158105,Q5_longest_80_100pct,0.0,0.9333333333333333,0.0,3,0.0,3,100.0,1
25,A3,Vertical lift motor,4,55,4,4,66,unstratified_random,90,28,30.303009041002955,Q1_shortest_0_20pct,0.7575759276719763,0.8,60.60607421375811,1,75.75759276719764,2,80.0,2
25,A4,AGV/shuttle drive unit,2,15,2,2,66,unstratified_random,25,145,153.1932818222736,Q5_longest_80_100pct,0.0,0.4,0.0,3,0.0,3,40.0,5
25,A5,Packing-station roller motor,3,35,3,2,66,unstratified_random,91,38,26.859272201960557,Q1_shortest_0_20pct,0.7851258223843156,0.5333333333333333,41.873377193830166,2,78.51258223843156,1,60.0,4
26,A1,Inbound conveyor motor,4,40,3,3,67,unstratified_random,13,95,93.13834255441226,Q3_40_60pct,0.2548932595647019,0.6666666666666667,16.992883970980127,3,25.48932595647019,4,80.0,2
26,A2,Sortation conveyor drive,5,80,5,4,67,unstratified_random,41,18,59.85486006548725,Q2_20_40pct,0.521161119476102,0.9333333333333333,48.64170448443619,2,52.1161119476102,2,100.0,1
26,A3,Vertical lift motor,4,55,4,4,67,unstratified_random,76,10,10.049433434661326,Q1_shortest_0_20pct,0.9196045325227094,0.8,73.56836260181676,1,91.96045325227094,1,80.0,2
26,A4,AGV/shuttle drive unit,2,15,2,2,67,unstratified_random,45,114,76.03056963373365,Q3_40_60pct,0.39175544293013076,0.4,15.670217717205231,4,39.175544293013076,3,40.0,5
26,A5,Packing-station roller motor,3,35,3,2,67,unstratified_random,55,137,118.91039914419324,Q4_60_80pct,0.048716806846454075,0.5333333333333333,2.598229698477551,5,4.8716806846454075,5,60.0,4
27,A1,Inbound conveyor motor,4,40,3,3,68,unstratified_random,47,135,121.81629897102604,Q4_60_80pct,0.025469608231791674,0.6666666666666667,1.6979738821194452,4,2.5469608231791674,4,80.0,2
27,A2,Sortation conveyor drive,5,80,5,4,68,unstratified_random,54,97,127.42576425394527,Q4_60_80pct,0.0,0.9333333333333333,0.0,5,0.0,5,100.0,1
27,A3,Vertical lift motor,4,55,4,4,68,unstratified_random,97,82,79.22371888224494,Q3_40_60pct,0.36621024894204046,0.8,29.29681991536324,3,36.62102489420405,3,80.0,2
27,A4,AGV/shuttle drive unit,2,15,2,2,68,unstratified_random,31,8,23.83573742078014,Q1_shortest_0_20pct,0.8093141006337589,0.4,32.37256402535036,1,80.93141006337589,1,40.0,5
27,A5,Packing-station roller motor,3,35,3,2,68,unstratified_random,84,58,54.07820667708313,Q2_20_40pct,0.567374346583335,0.5333333333333333,30.2599651511112,2,56.7374346583335,2,60.0,4
28,A1,Inbound conveyor motor,4,40,3,3,69,unstratified_random,6,93,105.6201183358804,Q4_60_80pct,0.15503905331295675,0.6666666666666667,10.335936887530451,4,15.503905331295675,4,80.0,2
28,A2,Sortation conveyor drive,5,80,5,4,69,unstratified_random,53,26,32.51632437126566,Q1_shortest_0_20pct,0.7398694050298746,0.9333333333333333,69.0544778027883,1,73.98694050298747,1,100.0,1
28,A3,Vertical lift motor,4,55,4,4,69,unstratified_random,67,77,138.84222319134904,Q5_longest_80_100pct,0.0,0.8,0.0,5,0.0,5,80.0,2
28,A4,AGV/shuttle drive unit,2,15,2,2,69,unstratified_random,57,103,83.29315372594353,Q3_40_60pct,0.3336547701924518,0.4,13.346190807698074,2,33.36547701924518,2,40.0,5
28,A5,Packing-station roller motor,3,35,3,2,69,unstratified_random,79,63,95.26087986485147,Q3_40_60pct,0.2379129610811882,0.5333333333333333,12.688691257663372,3,23.79129610811882,3,60.0,4
29,A1,Inbound conveyor motor,4,40,3,3,70,unstratified_random,72,50,70.20451782538055,Q3_40_60pct,0.4383638573969556,0.6666666666666667,29.22425715979704,4,43.83638573969556,5,80.0,2
29,A2,Sortation conveyor drive,5,80,5,4,70,unstratified_random,35,11,10.318035788709574,Q1_shortest_0_20pct,0.9174557136903234,0.9333333333333333,85.6291999444302,1,91.74557136903235,1,100.0,1
29,A3,Vertical lift motor,4,55,4,4,70,unstratified_random,32,48,58.21837314904572,Q2_20_40pct,0.5342530148076343,0.8,42.740241184610746,2,53.42530148076343,3,80.0,2
29,A4,AGV/shuttle drive unit,2,15,2,2,70,unstratified_random,63,72,60.45894799885493,Q2_20_40pct,0.5163284160091606,0.4,20.653136640366426,5,51.63284160091606,4,40.0,5
